attraction_name,attraction_category,attraction_level,longitude,latitude,image_url
Wan Nian Bing Dong,Zi Ran Qi Guan,4A,112.2568052,32.0024203,
Hai Kou Huo Shan Kou,Natural Scenery,4A,110.3403727,19.9889319,
Jing Men Ming Xian Ling,Historical Site,4A,,,
Fa Men Si,Religious Culture,5A,100.1301509,24.4472546,
Shan Hai Guan,Historical Culture,5A,120.3329267,36.0636494,
Lu Ya Shan,Natural Scenery,4A,110.4372172,29.3451921,
Shang Hai Bo Wu Guan,Wen Bo Yuan Guan,4A,121.9154534,30.8988774,
Si Gu Niang Shan,Natural Scenery,4A,118.148277,39.6871055,
Bei Hai Yin Tan,Natural Scenery,4A,109.2037545,21.4177851,
Shen Yang Gu Gong,Historical Culture,4A,118.7292405,28.3973609,
Xi Shuang Ban Na Re Dai Zhi Wu Yuan,Botanical Garden,5A,101.272758,21.9173632,
Ye San Po,Natural Scenery,5A,113.5698649,22.1253063,
Shang Hai Du Sha Fu Ren La Xiang Guan,Zhu Ti Zhan Lan,4A,121.4689971,31.2365391,
Qian Jiang Cao Yu Gong Yuan,Cheng Shi Gong Yuan,4A,84.1517523,43.0292738,
Yan An Ge Ming Ji Nian Guan,Revolutionary Site,5A,109.4719553,36.6096314,
Lu Gu Hu,Natural Scenery,4A,112.8829764,28.2232646,
Mei Zhou Ke Tian Xia,Wen Hua Lv You,4A,116.2669166,24.375542,
Mei Li Xue Shan,Natural Scenery,4A,118.5859513,39.2019243,
Liao Cheng Dong Chang Hu,Natural Scenery,4A,115.9403887,36.4360478,
Ying Kou Ba Yu Quan,Natural Scenery,4A,122.1152742,40.2241925,
Ba Da Ling Chang Cheng,Historical Culture,5A,116.4370605,28.4513766,
Sha Mian Dao,Historical Culture,4A,113.2362815,23.1096297,
Jian Shui Gu Cheng,Ancient Town,4A,117.518422,36.7226765,
Yun Cheng Yan Hu,Natural Scenery,4A,111.0345441,35.1178139,
Yue Yang Lou,Historical Architecture,5A,113.0883327,29.3846862,
Wu Gong Shan,Natural Scenery,5A,109.2539431,34.3790372,
Zhan Jiang Hu Guang Yan,Natural Scenery,4A,,,
Cai Shi Ji,Historical Culture,5A,116.3992881,29.4828674,
San Xia Da Ba,Shui Li Gong Cheng,5A,106.457349,29.5598515,
Xiang Yang Gu Long Zhong,Historical Culture,5A,112.526401,34.6737792,
Chao Hu,Natural Scenery,4A,117.4479782,31.5748169,
Wan Ning Xing Long Re Dai Zhi Wu Yuan,Botanical Garden,4A,,,
Zi Bo Zhou Cun Gu Shang Cheng,Ancient Town,4A,,,
Yuan Yang Ti Tian,Natural Scenery,4A,117.8578895,36.109688,
Tai Lao Shan,Natural Scenery,5A,112.5089348,37.8615695,
Qing Dao Hai Bin Feng Jing Qu,Natural Scenery,4A,119.9851455,35.8252254,
Tai Bai Shan,Natural Scenery,5A,112.5064647,37.8601282,
Guan Lin,Historical Culture,4A,125.3340247,43.8715653,
Zhong Shan Ling,Revolutionary Site,5A,131.1389078,46.5638573,
Dao Cheng Ya Ding,Natural Scenery,5A,100.0605535,29.3162802,
Bei Jing Huan Le Gu,Theme Park,4A,116.5017066,39.8639097,
Xing Tai Da Xia Gu,Natural Scenery,4A,113.6053816,35.9414803,
Hong Hai Tan,Natural Scenery,5A,113.9871891,22.375698,
Mu Tian Yu Chang Cheng,Historical Culture,4A,119.451041,31.4188349,
Tian Mu Hu,Natural Scenery,5A,119.4794753,31.3743563,
Guang Zhou Ta,Urban Landmark,4A,113.237096,23.1116412,
En Shi Da Xia Gu,Natural Scenery,5A,109.4597252,30.3501387,
Qing Ming Shang He Yuan,Theme Park,5A,115.1862635,34.6396549,
Ju Zi Zhou,Cheng Shi Gong Yuan,5A,98.9162038,28.4831249,
Wa Huang Gong,Religious Culture,5A,120.8941689,38.3885136,
Wai Tan,Urban Landscape,4A,118.6269791,29.6903532,
Chang Zhou Zhong Hua Kong Long Yuan,Theme Park,5A,119.9963602,31.8254229,
